"cve_mun","pobreza_2020","pobreza_extrema_2020","pobreza_moderada_2020","carencia_social_2020","ingreso_2020","no_pobres_2020","rezago_educativo_2020","servicios_salud_2020","seguridad_social_2020","calidad_vivienda_2020","servicios_basicos_2020","alimentacion_2020","una_carencia_2020","tres_carencias_2020","ingreso_inferior_2020","ingreso_inferior_minimo_2020","p_0a2","p_3a5","p_6a11","p_12a14","p_15a17","p_18a24","p_60ymas","pob0_14","pnacoe","presoe15","p3ym_hli","p3hlinhe","phog_ind","pob_afro","pcon_disc","pclim_pmen","p15ym_an","pea","pe_inac","pocupada","pdesocup","psinder","prom_ocup","vph_pisoti","vph_s_elec","vph_aguafv","vph_nodren","vph_ndeaed","vph_sinltc"
"01011",0.3778966445551,0.0593493216969014,0.318564918269315,0.224763781605757,0.139302869811553,0.25803670402759,0.179191666813295,0.237133355620854,0.425949712315028,0.0771734731582003,0.00747804972463182,0.211919131490507,0.602678021571974,0.145637217813594,0.517199514366653,0.174722432389633,0.0598254754262303,0.0683742761746536,0.135393648079746,0.061535235575915,0.0571640563253061,0.125699630627288,0.0578737680855525,0.325128635256545,0.182912076390793,0.0518734777489233,0.0019355775279449,0.000209687565527364,0.00432278981241028,0.0068067809732729,0.0360340016452409,0.0107424552800942,0.0158394761036824,0.476023033372583,0.257318902527542,0.466570963111118,0.00945207026146427,0.170556639837411,0.63,0.00713980594373589,0.00457679868188198,0.00537011045340819,0.00341734301580521,0.000427167876975651,0.0496735216940258
"02001",0.222985241345939,0.0206376950541437,0.202345285122182,0.409090806310472,0.0546117684833657,0.313312183860224,0.128694468500777,0.194727404697354,0.499033349990616,0.0690063742371379,0.103265355037547,0.124705765304161,0.632076047656411,0.114871938658991,0.277597009829304,0.0627090168660641,0.0426266372544822,0.0475747340623289,0.0949354111133894,0.048464760582866,0.0470519843084945,0.122273871299912,0.120464526246769,0.233601543013066,0.360086704355722,0.0550103986642842,0.0264822321414489,0.00102972688578594,0.0536967645846055,0.0179740292514539,0.0458915699842499,0.0139542639030029,0.0174670521195024,0.52175833188751,0.287426741804433,0.514759794234881,0.00699853765262828,0.175319451923922,0.525,0.0179048981051126,0.0168680729352878,0.0434537003932785,0.0525348587772613,0.00512692170182338,0.0340579191991419
"02002",0.202189581136275,0.0108401162960071,0.191349464840268,0.369920546599002,0.065781628416001,0.362107272773178,0.108596349144385,0.186002722895825,0.436786866397485,0.0596454020544074,0.0400636637126549,0.107255293818327,0.572110127735277,0.0707855806934645,0.26797218062782,0.0590763517857108,0.0356203895628848,0.0434600377979638,0.0948235459976833,0.0493469182466622,0.0488906373834055,0.122247073706029,0.117103197585807,0.223250891605194,0.287740809607999,0.0312976284825946,0.00563921233920624,4.66759129427544e-05,0.00919896512833018,0.0105782859842712,0.0424074483326221,0.0143990428580138,0.012511049807962,0.522754983844419,0.296525406937755,0.515183007681522,0.00757197616289703,0.181622645247821,0.526666666666667,0.0138517235951519,0.00681688844761409,0.00821840680962356,0.0342176318880238,0.0018071413868675,0.0365423966872102
"02003",0.211068849567279,0.0120721018686952,0.198996747698583,0.447623247524025,0.0534332910717895,0.287874611836907,0.130321738970656,0.218106315344615,0.514277051981699,0.0725887951785091,0.0424728515517336,0.110100508975984,0.658692097091303,0.0830531209231391,0.264502140639068,0.053157672307664,0.0429638509774991,0.0498432312799705,0.0936554776835116,0.0501383253412025,0.0477499077831059,0.11872925119882,0.106372187384729,0.236600885282184,0.388371449649576,0.0426226484691996,0.00636296569531538,2.76650682405017e-05,0.0147178163039469,0.0169771302102545,0.0378458133530063,0.0155108815935079,0.0146255994098119,0.486942087790483,0.279721504979712,0.480403909996311,0.00653817779417189,0.181805606787163,0.55,0.0182402055234425,0.0156711624919717,0.0371547848426461,0.0241490044958253,0.00362877328195247,0.0414900449582531
"02004",0.237023641841905,0.0185591202841098,0.218464521557795,0.380603079946377,0.0678811191917819,0.314492159019936,0.137805779929913,0.274537001952079,0.456075093618767,0.0650656311329112,0.0332041529363497,0.135549521910581,0.617626721788282,0.103980202211311,0.304904761033687,0.0659703294492107,0.0400057632600494,0.0466616004073813,0.0974833591067571,0.0494730102058597,0.0484519561014355,0.127101730382419,0.0880520024987998,0.233623732980048,0.443204060497586,0.0675508173374259,0.00641240702972084,7.28209753537409e-05,0.014985516428152,0.0186406092410858,0.0370528727094552,0.0138141390246046,0.0111670965704962,0.546894367453601,0.260715736560759,0.540154786184613,0.00673958126898872,0.250361634165105,0.551666666666667,0.0217180965063776,0.00293562773535307,0.0118309439092227,0.0091779548749107,0.000716133641288139,0.030204193456654
"02005",0.312325830653805,0.0216123105190629,0.290713520134742,0.450666054203032,0.0584443423671719,0.178563772775991,0.143959577400092,0.294648598989435,0.643201653651814,0.0934313275149288,0.0613076098606645,0.0983769713673251,0.762991884856837,0.118205481549533,0.370770173020977,0.0990277139794825,0.0348333201985972,0.0448892741744818,0.0993064859326976,0.0520844826227441,0.0514934194972023,0.123934116163606,0.112632989203247,0.231113562928521,0.443722909606746,0.068106233745764,0.00937032075025613,1.57616833477815e-05,0.022507683820632,0.0279612262589645,0.0424856174639451,0.0135156434707227,0.0154149263141303,0.52902513988494,0.283150760501222,0.520395618252029,0.0086295216329104,0.280936243990858,0.551666666666667,0.0265554068592721,0.00758351045684746,0.0488073683381878,0.0224356451231992,0.0018105959222231,0.0343750820016269
"02006",0.349033744548075,0.0379275457196541,0.311106198828421,0.471624482439062,0.0306072998410121,0.148734473171851,0.272489988862344,0.273790799105587,0.620239927222643,0.150247834108435,0.197927205638545,0.205145427184383,0.820658226987136,0.241483093717852,0.379641044389087,0.0904700771133915,0.0651027490473598,0.0658257348938487,0.119837030484486,0.0565630103429505,0.0554657729994556,0.143329817637452,0.0663105606967882,0.307328524768645,0.438750340228634,0.0936819542732716,0.146723598258029,0.00572434676102341,0.305040487207403,0.0344821720195972,0.053832675557975,0.0106746733805117,0.0561292188350572,0.50358090636908,0.242651061513337,0.498307362547632,0.00527354382144801,0.264987071311922,0.595,0.0424732824427481,0.0569770992366412,0.158503816793893,0.433404580152672,0.035206106870229,0.0585038167938931
"03001",0.349492499202043,0.042770507500798,0.306734759016917,0.316846473029046,0.0767698691350144,0.256891158633897,0.178027449728695,0.116616661346952,0.485987871050112,0.0760038301947016,0.0784296201723588,0.241749122247048,0.666338972231088,0.123230130864986,0.426262368337057,0.154458984998404,0.0421796469508771,0.047164514317799,0.101641993399159,0.0529436737376919,0.0560112844250284,0.10466852001479,0.132140069295134,0.243929828405527,0.229769518357733,0.0250201996685885,0.0115720135303543,0.000465619479327865,0.0218841155284096,0.0109831418359102,0.0620369482751537,0.013324933923118,0.0307993590884814,0.490913572807822,0.314293148546309,0.484778351433149,0.00613522137467304,0.117144383122663,0.543333333333333,0.0311937342455888,0.0160244868563198,0.018905293482175,0.0422668347137198,0.00396110911055095,0.0649081742888009
"03002",0.241108981145032,0.031615690538182,0.20949329060685,0.364181282366742,0.0598409201453463,0.33486881634288,0.181711539011759,0.186589797144574,0.439615461646305,0.0885811564762096,0.142370747618094,0.155617865011015,0.605290263511774,0.150925581528426,0.300949901290378,0.091141884352379,0.0504670269594827,0.0567617381525101,0.106713317297179,0.0515760207428696,0.0512636281278311,0.106635219143419,0.105291930898754,0.265518103152041,0.329886601480741,0.0788635156664897,0.0468432726250351,0.000546687076317516,0.0985442504139202,0.0179469557339665,0.0520133704039237,0.0128705757395895,0.0303958014432539,0.516228796351254,0.265236949798507,0.509777888850708,0.00645090750054669,0.149807878541751,0.54,0.0300999896917844,0.0228842387382744,0.0291722502834759,0.1138027007525,0.00376249871147304,0.054169673229564
"03003",0.206073234257699,0.0188631836984832,0.187210050559216,0.34694040140953,0.0715765282671978,0.375409836065574,0.0960839589397886,0.142227669679792,0.366836218783515,0.0439466830090394,0.0462969204841428,0.226462387007814,0.553013635667228,0.0813053470200705,0.277646698330014,0.0787099739543435,0.0372363905133092,0.0437173428779672,0.0923621257797503,0.0463555763907186,0.0479227760649601,0.113940206884044,0.127521463449687,0.219671435561745,0.273164956320297,0.0521145219185535,0.0108916955526432,0.000181357167543226,0.022060559606626,0.0222350731074695,0.0526791244212824,0.0149876300724402,0.0138344722335333,0.529802457560712,0.290561557071048,0.52102545501829,0.00877700254242218,0.140846082514089,0.53,0.0203314820292046,0.0124990414845487,0.0239245456636761,0.0132987172324646,0.00170889611883401,0.0276271539211498
